"FieldName","ClassName","ModelClass","LineContent","LineNo","FilePath","RepoName"
"transaction.cardtype.vc","MegaJsonToElavonMessageMapper","Transaction","EnumSet<Transaction.CardType> supportedCardType = EnumSet.of( Transaction.CardType.VC,","251","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardtype.vd","MegaJsonToElavonMessageMapper","Transaction","Transaction.CardType.VD, Transaction.CardType.MC, Transaction.CardType.MS );","252","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardtype.ae","MegaJsonToElavonMessageMapper","Transaction","supportedCardType.addAll( EnumSet.of( Transaction.CardType.AE, Transaction.CardType.DC,","254","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardtype.ds","MegaJsonToElavonMessageMapper","Transaction","Transaction.CardType.DS ) );","255","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.walletprovider.android_pay","MegaJsonToElavonMessageMapper","Transaction",".of( Transaction.WalletProvider.APPLE_PAY, Transaction.WalletProvider.ANDROID_PAY )","261","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action.refund_authorization","MegaJsonToElavonMessageMapper","RoutingHeader","if ( RoutingHeader.Action.REFUND_AUTHORIZATION","304","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action","MegaJsonToElavonMessageMapper","RoutingHeader",".equals( transactionContext.request().routingHeader().action() ) ) {","305","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.rrn","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().rrn() );","393","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.associatedtransaction.authorisationid","MegaJsonToElavonMessageMapper","AssociatedTransaction","transactionContext.request().transaction().associatedTransaction().authorisationId() );","403","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.terminalid","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().terminalId() );","412","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchantacquirerrelationship","MegaJsonToElavonMessageMapper","MerchantContext","transactionContext.request().merchantContext().merchantAcquirerRelationship()","421","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant","MegaJsonToElavonMessageMapper","MerchantContext","Merchant m = transactionContext.request().merchantContext().merchant();","430","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.id","MegaJsonToElavonMessageMapper","Merchant",".hasAll( s -> m.subMerchant(), SubMerchant::id, SubMerchant::tradingName,","433","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.stateprovince","MegaJsonToElavonMessageMapper","Merchant","SubMerchant::stateProvince ) ) {","434","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.submerchant","MegaJsonToElavonMessageMapper","Merchant","Optional.ofNullable( m.subMerchant().street() ).orElse( """" ) );","437","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.street2","MegaJsonToElavonMessageMapper","Merchant","if ( m.subMerchant().street2() != null ) {","438","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.street2","MegaJsonToElavonMessageMapper","Merchant","street.append( "" "" + m.subMerchant().street2() );","439","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.submerchant","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().tradingName() ),","442","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.city","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().city() ),","443","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.submerchant","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().country() ),","444","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.postcode","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().postCode() ),","446","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.submerchant","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().stateProvince() ) ) );","447","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.name","MegaJsonToElavonMessageMapper","Merchant",".hasAll( merchant -> m, Merchant::name, Merchant::city ) ) {","450","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
